ncols         10
nrows         15
xllcorner     530195,48752344
yllcorner     7503727,4955134
cellsize      1
NODATA_value  -9999
2		2		2		2		2		2		2		2		2		2
2		2		2		2		2		2		2		2		2		2
2		2		2		2		2		2		2		2		2		2
2		2		2		2		2		2		2		2		2		2
2		2		2		2		2		2		2		2		2		2
2		2		2		2		2		2		2		2		2		2
2		2		2		2		2		2		2		2		2		2
2		2		2		2		2		2		2		2		2		2
2		2		2		2		2		2		2		2		2		2
2		2		2		2		2		2		2		2		2		2
2		2		2		2		2		2		2		2		2		2
2		2		2		2		2		2		2		2		2		2
2		2		2		2		2		2		2		2		2		2
2		2		2		2		2		2		2		2		2		2
2		2		2		2		2		2		2		2		2		2
